,SV.,SS.,SM.,OA.,V.,ND.,LC.,U.,8N.,Pokémon,,Format,Index
,-,-,1,-,-,-,-,-,-,Goldeen (Z),,,
,-,1,1,1,-,1,-,1,1,Seaking,,,
,-,-,-,-,-,-,-,-,-,Seaking (T),,,
,-,-,1,-,-,-,-,-,-,Seaking (Z),,,
,-,1,1,1,-,1,13,1,1,Staryu,,,
,-,-,-,-,-,-,-,-,-,Staryu (T),,,
,-,-,1,-,-,-,-,-,-,Staryu (Z),,,
,-,10,12,13,-,9,-,9,10,Starmie,,,
,-,-,-,-,-,-,-,-,-,Starmie (T),,,
,-,-,12,-,-,-,-,-,-,Starmie (Z),,,
,-,1,1,1,-,1,-,1,1,Mr. Mime,,,
,-,-,-,-,-,-,-,-,-,Mr. Mime (T),,,
,-,-,1,-,-,-,-,-,-,Mr. Mime (Z),,,
,-,1,-,-,-,1,-,2,1,Galarian Mr. Mime,,,
,-,-,-,-,-,-,-,-,-,Galarian Mr. Mime (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Mr. Mime (Z),,,
,3,2,1,3,2,3,99,3,4,Scyther,,,
,3,-,-,-,-,-,-,-,-,Scyther (T),,,
,-,-,1,-,-,-,-,-,-,Scyther (Z),,,
,-,1,1,1,-,1,-,1,2,Jynx,,,
,-,-,-,-,-,-,-,-,-,Jynx (T),,,
,-,-,1,-,-,-,-,-,-,Jynx (Z),,,
,1,1,1,2,11,1,-,3,3,Electabuzz,,,
,1,-,-,-,-,-,-,-,-,Electabuzz (T),,,
,-,-,1,-,-,-,-,-,-,Electabuzz (Z),,,
,1,1,1,1,11,1,-,2,2,Magmar,,,
,1,-,-,-,-,-,-,-,-,Magmar (T),,,
,-,-,1,-,-,-,-,-,-,Magmar (Z),,,
,-,1,1,2,-,1,-,2,1,Pinsir,,,
,-,-,-,-,-,-,-,-,-,Pinsir (T),,,
,-,-,1,-,-,-,-,-,-,Pinsir (Z),,,
,-,-,7,11,-,8,-,7,10,Mega Pinsir,,,
,3,3,3,4,4,3,-,3,5,Tauros,,,
,3,-,-,-,-,-,-,-,-,Tauros (T),,,
,-,-,3,-,-,-,-,-,-,Tauros (Z),,,
,2,-,-,-,4,2,-,4,,Paldean Tauros,,,
,2,-,-,-,-,-,-,-,-,Paldean Tauros (T),,,
,-,-,-,-,-,-,-,-,-,Paldean Tauros (Z),,,
,6,-,-,-,9,6,-,8,,Paldean Tauros Blaze,,,
,6,-,-,-,-,-,-,-,-,Paldean Tauros Blaze (T),,,
,-,-,-,-,-,-,-,-,-,Paldean Tauros Blaze (Z),,,
,6,-,-,-,9,7,-,8,,Paldean Tauros Aqua,,,
,6,-,-,-,-,-,-,-,-,Paldean Tauros Aqua (T),,,
,-,-,-,-,-,-,-,-,-,Paldean Tauros Aqua (Z),,,
,1,1,1,1,1,1,1,1,1,Magikarp,,,
,1,-,-,-,-,-,-,-,-,Magikarp (T),,,
,-,-,1,-,-,-,-,-,-,Magikarp (Z),,,
,7,8,7,6,11,7,-,7,9,Gyarados,,,
,8,-,-,-,-,-,-,-,-,Gyarados (T),,,
,-,-,7,-,-,-,-,-,-,Gyarados (Z),,,
,-,-,10,10,-,11,-,7,11,Mega Gyarados,,,
,2,2,1,2,2,2,-,2,3,Lapras,,,
,3,-,-,-,-,-,-,-,-,Lapras (T),,,
,-,-,1,-,-,-,-,-,-,Lapras (Z),,,
,3,4,4,4,4,3,-,12,5,Ditto,,,
,3,-,-,-,-,-,-,-,-,Ditto (T),,,
,-,-,4,-,-,-,-,-,-,Ditto (Z),,,
,1,1,1,1,1,1,8,1,1,Eevee,,,
,1,-,-,-,-,-,-,-,-,Eevee (T),,,
,-,-,-,-,-,-,99,-,99,Eevee-Starter,,,
,-,-,-,-,-,-,-,-,-,Eevee-Starter (T),,,
,-,-,1,-,-,-,-,-,-,Eevee (Z),,,
,-,-,1,-,-,-,-,-,-,Eevee-Starter (Z),,,
,6,6,7,7,7,7,-,12,11,Vaporeon,,,
,6,-,-,-,-,-,-,-,-,Vaporeon (T),,,
,-,-,7,-,-,-,-,-,-,Vaporeon (Z),,,
,2,2,5,5,5,4,-,4,5,Jolteon,,,
,6,-,-,-,-,-,-,-,-,Jolteon (T),,,
,-,-,5,-,-,-,-,-,-,Jolteon (Z),,,
,1,1,1,3,2,2,-,3,2,Flareon,,,
,1,-,-,-,-,-,-,-,-,Flareon (T),,,
,-,-,1,-,-,-,-,-,-,Flareon (Z),,,
,-,1,1,1,1,1,99,1,1,Porygon,,,
,-,-,-,-,-,-,-,-,-,Porygon (T),,,
,-,-,1,-,-,-,-,-,-,Porygon (Z),,,
,-,1,1,1,-,1,10,1,1,Omanyte,,,
,-,-,-,-,-,-,-,-,-,Omanyte (T),,,
,-,-,1,-,-,-,-,-,-,Omanyte (Z),,,
,-,3,3,3,-,2,-,5,6,Omastar,,,
,-,-,-,-,-,-,-,-,-,Omastar (T),,,
,-,-,3,-,-,-,-,-,-,Omastar (Z),,,
,-,1,1,1,-,1,10,1,1,Kabuto,,,
,-,-,-,-,-,-,-,-,-,Kabuto (T),,,
,-,-,1,-,-,-,-,-,-,Kabuto (Z),,,
,-,2,5,4,-,2,-,6,4,Kabutops,,,
,-,-,-,-,-,-,-,-,-,Kabutops (T),,,
,-,-,5,-,-,-,-,-,-,Kabutops (Z),,,
,-,4,4,5,-,6,-,9,8,Aerodactyl,,,
,-,-,-,-,-,-,-,-,-,Aerodactyl (T),,,
,-,-,4,-,-,-,-,-,-,Aerodactyl (Z),,,
,-,-,14,14,-,15,-,15,14,Mega Aerodactyl,,,
,6,7,13,13,7,7,-,13,10,Snorlax,,,
,6,-,-,-,-,-,-,-,-,Snorlax (T),,,
,-,-,13,-,-,-,-,-,-,Snorlax (Z),,,
,2,2,1,1,6,2,-,3,5,Articuno,,,
,3,-,-,-,-,-,-,-,-,Articuno (T),,,
,-,-,1,-,-,-,-,-,-,Articuno (Z),,,
,3,3,-,-,6,3,-,4,5,Galarian Articuno,,,
,3,-,-,-,-,-,-,-,-,Galarian Articuno (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Articuno (Z),,,
,15,17,16,17,14,16,-,18,17,Zapdos,,,
,15,-,-,-,-,-,-,-,-,Zapdos (T),,,
,-,-,16,-,-,-,-,-,-,Zapdos (Z),,,
,10,12,-,-,12,9,-,14,14,Galarian Zapdos,,,
,10,-,-,-,-,-,-,-,-,Galarian Zapdos (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Zapdos (Z),,,
,8,10,5,5,7,9,-,11,11,Moltres,,,
,8,-,-,-,-,-,-,-,-,Moltres (T),,,
,-,-,5,-,-,-,-,-,-,Moltres (Z),,,
,9,12,-,-,11,10,-,11,12,Galarian Moltres,,,
,9,-,-,-,-,-,-,-,-,Galarian Moltres (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Moltres (Z),,,
,1,1,1,1,1,1,7,1,1,Dratini,,,
,1,-,-,-,-,-,-,-,-,Dratini (T),,,
,-,-,1,-,-,-,-,-,-,Dratini (Z),,,
,1,1,1,1,1,1,-,1,1,Dragonair,,,
,1,-,-,-,-,-,-,-,-,Dragonair (T),,,
,-,-,1,-,-,-,-,-,-,Dragonair (Z),,,
,14,16,10,10,15,15,-,13,15,Dragonite,,,
,-,-,-,-,-,-,-,-,-,Dragonite (T),,,
,-,-,10,-,-,-,-,-,-,Dragonite (Z),,,
,99,99,99,99,99,99,-,26,99,Mewtwo,,,
,99,-,-,-,-,-,-,-,-,Mewtwo (T),,,
,-,-,99,-,-,-,-,-,-,Mewtwo (Z),,,
,-,-,99,99,-,99,-,25,99,Mega Mewtwo X,,,
,-,-,99,99,-,99,-,30,99,Mega Mewtwo Y,,,
,11,17,17,18,99,16,-,17,17,Mew,,,
,13,-,-,-,-,-,-,-,-,Mew (T),,,
,-,-,17,-,-,-,-,-,-,Mew (Z),,,
,1,-,1,1,1,1,4,1,1,Chikorita,,,
,1,-,-,-,-,-,-,-,-,Chikorita (T),,,
,-,-,1,-,-,-,-,-,-,Chikorita (Z),,,
,1,-,1,1,1,1,-,1,1,Bayleef,,,
,1,-,-,-,-,-,-,-,-,Bayleef (T),,,
,-,-,1,-,-,-,-,-,-,Bayleef (Z),,,
,2,-,1,2,2,2,-,1,2,Meganium,,,
,2,-,-,-,-,-,-,-,-,Meganium (T),,,
,-,-,1,-,-,-,-,-,-,Meganium (Z),,,
,1,-,1,1,1,1,6,1,1,Cyndaquil,,,
,1,-,-,-,-,-,-,-,-,Cyndaquil (T),,,
,-,-,1,-,-,-,-,-,-,Cyndaquil (Z),,,
,1,-,1,1,1,1,-,1,1,Quilava,,,
,1,-,-,-,-,-,-,-,-,Quilava (T),,,
,-,-,1,-,-,-,-,-,-,Quilava (Z),,,
,2,-,2,3,5,2,-,2,2,Typhlosion,,,
,2,-,-,-,-,-,-,-,-,Typhlosion (T),,,
,-,-,2,-,-,-,-,-,-,Typhlosion (Z),,,
,3,-,-,-,6,3,-,3,,Hisuian Typhlosion,,,
,3,-,-,-,-,-,-,-,-,Hisuian Typhlosion (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Typhlosion (Z),,,
,1,-,1,1,1,1,7,1,1,Totodile,,,
,1,-,-,-,-,-,-,-,-,Totodile (T),,,
,-,-,1,-,-,-,-,-,-,Totodile (Z),,,
,1,-,1,1,1,1,-,1,1,Croconaw,,,
,1,-,-,-,-,-,-,-,-,Croconaw (T),,,
,-,-,1,-,-,-,-,-,-,Croconaw (Z),,,
,5,-,4,5,3,5,-,7,7,Feraligatr,,,
,5,-,-,-,-,-,-,-,-,Feraligatr (T),,,
,-,-,4,-,-,-,-,-,-,Feraligatr (Z),,,
,1,-,1,1,1,1,3,1,1,Sentret,,,
,1,-,-,-,-,-,-,-,-,Sentret (T),,,
,-,-,1,-,-,-,-,-,-,Sentret (Z),,,
,1,-,1,1,3,1,-,1,1,Furret,,,
,1,-,-,-,-,-,-,-,-,Furret (T),,,
,-,-,1,-,-,-,-,-,-,Furret (Z),,,
,1,1,1,1,1,1,4,1,1,Hoothoot,,,
,1,-,-,-,-,-,-,-,-,Hoothoot (T),,,
,-,-,1,-,-,-,-,-,-,Hoothoot (Z),,,
,1,1,1,1,1,1,-,1,1,Noctowl,,,
,1,-,-,-,-,-,-,-,-,Noctowl (T),,,
,-,-,1,-,-,-,-,-,-,Noctowl (Z),,,
,-,-,1,1,-,1,3,1,1,Ledyba,,,
,-,-,-,-,-,-,-,-,-,Ledyba (T),,,
,-,-,1,-,-,-,-,-,-,Ledyba (Z),,,
,-,-,1,1,-,1,-,1,1,Ledian,,,
,-,-,-,-,-,-,-,-,-,Ledian (T),,,
,-,-,1,-,-,-,-,-,-,Ledian (Z),,,
,1,-,1,1,1,1,6,1,1,Spinarak,,,
,1,-,-,-,-,-,-,-,-,Spinarak (T),,,
,-,-,1,-,-,-,-,-,-,Spinarak (Z),,,
,1,-,1,1,1,1,-,1,1,Ariados,,,
,1,-,-,-,-,-,-,-,-,Ariados (T),,,
,-,-,1,-,-,-,-,-,-,Ariados (Z),,,
,-,12,11,12,-,10,-,11,12,Crobat,,,
,-,-,-,-,-,-,-,-,-,Crobat (T),,,
,-,-,11,-,-,-,-,-,-,Crobat (Z),,,
,1,1,1,1,1,1,12,1,1,Chinchou,,,
,1,-,-,-,-,-,-,-,-,Chinchou (T),,,
,-,-,1,-,-,-,-,-,-,Chinchou (Z),,,
,4,7,6,6,3,5,-,6,6,Lanturn,,,
,4,-,-,-,-,-,-,-,-,Lanturn (T),,,
,-,-,6,-,-,-,-,-,-,Lanturn (Z),,,
,1,1,1,1,1,1,4,1,1,Pichu,,,
,1,-,-,-,-,-,-,-,-,Pichu (T),,,
,-,-,1,-,-,-,-,-,-,Pichu (Z),,,
,-,-,-,-,-,-,-,-,99,Pichu-Spiky-Eared,,,
,-,-,-,-,-,-,-,-,-,Pichu-Spiky-Eared (T),,,
,-,-,1,-,-,-,-,-,-,Pichu-Spiky-Eared (Z),,,
,1,1,1,1,1,1,2,1,1,Cleffa,,,
,1,-,-,-,-,-,-,-,-,Cleffa (T),,,
,-,-,1,-,-,-,-,-,-,Cleffa (Z),,,
,1,1,1,1,1,1,2,1,1,Igglybuff,,,
,1,-,-,-,-,-,-,-,-,Igglybuff (T),,,
,-,-,1,-,-,-,-,-,-,Igglybuff (Z),,,
,-,1,1,1,-,1,7,1,1,Togepi,,,
,-,-,-,-,-,-,-,-,-,Togepi (T),,,
,-,-,1,-,-,-,-,-,-,Togepi (Z),,,
,-,1,1,2,-,1,-,2,2,Togetic,,,
,-,-,-,-,-,-,-,-,-,Togetic (T),,,
,-,-,1,-,-,-,-,-,-,Togetic (Z),,,
,-,1,1,1,-,1,10,1,1,Natu,,,
,-,-,-,-,-,-,-,-,-,Natu (T),,,
,-,-,1,-,-,-,-,-,-,Natu (Z),,,
,-,2,3,4,-,4,-,4,3,Xatu,,,
,-,-,-,-,-,-,-,-,-,Xatu (T),,,
,-,-,3,-,-,-,-,-,-,Xatu (Z),,,
,1,-,1,1,1,1,3,1,1,Mareep,,,
,1,-,-,-,-,-,-,-,-,Mareep (T),,,
,-,-,1,-,-,-,-,-,-,Mareep (Z),,,
,1,-,1,1,1,1,-,1,1,Flaaffy,,,
,1,-,-,-,-,-,-,-,-,Flaaffy (T),,,
,-,-,1,-,-,-,-,-,-,Flaaffy (Z),,,
,1,-,1,1,1,1,-,2,2,Ampharos,,,
,1,-,-,-,-,-,-,-,-,Ampharos (T),,,
,-,-,1,-,-,-,-,-,-,Ampharos (Z),,,
,-,-,1,2,-,2,-,3,2,Mega Ampharos,,,
,1,1,1,2,2,1,-,1,1,Bellossom,,,
,1,-,-,-,-,-,-,-,-,Bellossom (T),,,
,-,-,1,-,-,-,-,-,-,Bellossom (Z),,,
,1,1,1,1,1,1,-,1,1,Marill,,,
,1,-,-,-,-,-,-,-,-,Marill (T),,,
,-,-,1,-,-,-,-,-,-,Marill (Z),,,
,11,11,12,11,13,11,-,11,12,Azumarill,,,
,11,-,-,-,-,-,-,-,-,Azumarill (T),,,
,-,-,12,-,-,-,-,-,-,Azumarill (Z),,,
,1,1,1,2,1,1,-,1,1,Sudowoodo,,,
,1,-,-,-,-,-,-,-,-,Sudowoodo (T),,,
,-,-,1,-,-,-,-,-,-,Sudowoodo (Z),,,
,5,4,7,6,10,5,-,7,7,Politoed,,,
,5,-,-,-,-,-,-,-,-,Politoed (T),,,
,-,-,7,-,-,-,-,-,-,Politoed (Z),,,
,1,-,1,1,1,1,3,1,1,Hoppip,,,
,1,-,-,-,-,-,-,-,-,Hoppip (T),,,
,-,-,1,-,-,-,-,-,-,Hoppip (Z),,,
,1,-,1,1,2,1,-,1,1,Skiploom,,,
,1,-,-,-,-,-,-,-,-,Skiploom (T),,,
,-,-,1,-,-,-,-,-,-,Skiploom (Z),,,
,1,-,1,2,8,1,-,1,1,Jumpluff,,,
,1,-,-,-,-,-,-,-,-,Jumpluff (T),,,
,-,-,1,-,-,-,-,-,-,Jumpluff (Z),,,
,1,-,1,1,1,1,12,1,1,Aipom,,,
,1,-,-,-,-,-,-,-,-,Aipom (T),,,
,-,-,1,-,-,-,-,-,-,Aipom (Z),,,
,1,-,1,1,1,1,1,1,1,Sunkern,,,
,1,-,-,-,-,-,-,-,-,Sunkern (T),,,
,-,-,1,-,-,-,-,-,-,Sunkern (Z),,,
,1,-,1,1,1,1,-,1,1,Sunflora,,,
,1,-,-,-,-,-,-,-,-,Sunflora (T),,,
,-,-,1,-,-,-,-,-,-,Sunflora (Z),,,
,1,-,1,1,1,1,99,1,1,Yanma,,,
,1,-,-,-,-,-,-,-,-,Yanma (T),,,
,-,-,1,-,-,-,-,-,-,Yanma (Z),,,
,1,1,1,1,1,1,6,1,1,Wooper,,,
,1,-,-,-,-,-,-,-,-,Wooper (T),,,
,-,-,1,-,-,-,-,-,-,Wooper (Z),,,
,1,-,-,-,1,1,6,1,,Paldean Wooper,,,
,1,-,-,-,-,-,-,-,-,Paldean Wooper (T),,,
,-,-,-,-,-,-,-,-,-,Paldean Wooper (Z),,,
,5,5,4,4,2,5,-,8,6,Quagsire,,,
,5,-,-,-,-,-,-,-,-,Quagsire (T),,,
,-,-,4,-,-,-,-,-,-,Quagsire (Z),,,
,4,2,4,4,3,4,-,7,6,Espeon,,,
,4,-,-,-,-,-,-,-,-,Espeon (T),,,
,-,-,4,-,-,-,-,-,-,Espeon (Z),,,
,5,5,6,6,5,6,-,10,8,Umbreon,,,
,5,-,-,-,-,-,-,-,-,Umbreon (T),,,
,-,-,6,-,-,-,-,-,-,Umbreon (Z),,,
,1,-,1,2,11,1,99,2,1,Murkrow,,,
,1,-,-,-,-,-,-,-,-,Murkrow (T),,,
,-,-,1,-,-,-,-,-,-,Murkrow (Z),,,
,11,12,8,10,7,11,-,14,13,Slowking,,,
,11,-,-,-,-,-,-,-,-,Slowking (T),,,
,-,-,8,-,-,-,-,-,-,Slowking (Z),,,
,15,16,-,-,8,16,-,17,17,Galarian Slowking,,,
,15,-,-,-,-,-,-,-,-,Galarian Slowking (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Slowking (Z),,,
,2,-,1,3,3,2,99,2,3,Misdreavus,,,
,2,-,-,-,-,-,-,-,-,Misdreavus (T),,,
,-,-,1,-,-,-,-,-,-,Misdreavus (Z),,,
,-,-,1,1,-,99,-,99,1,Unown,,,
,-,-,-,-,-,-,-,-,-,Unown (T),,,
,-,-,1,-,-,-,-,-,-,Unown (Z),,,
,-,2,2,3,-,1,-,3,2,Wobbuffet,,,
,-,-,-,-,-,-,-,-,-,Wobbuffet (T),,,
,-,-,2,-,-,-,-,-,-,Wobbuffet (Z),,,
,1,-,1,1,1,1,99,1,1,Girafarig,,,
,1,-,-,-,-,-,-,-,-,Girafarig (T),,,
,-,-,1,-,-,-,-,-,-,Girafarig (Z),,,
,1,-,1,1,1,1,5,1,1,Pineco,,,
,1,-,-,-,-,-,-,-,-,Pineco (T),,,
,-,-,1,-,-,-,-,-,-,Pineco (Z),,,
,5,-,3,5,1,6,-,5,6,Forretress,,,
,5,-,-,-,-,-,-,-,-,Forretress (T),,,
,-,-,3,-,-,-,-,-,-,Forretress (Z),,,
,2,1,1,1,1,2,99,4,1,Dunsparce,,,
,2,-,-,-,-,-,-,-,-,Dunsparce (T),,,
,-,-,1,-,-,-,-,-,-,Dunsparce (Z),,,
,2,-,4,6,1,5,99,6,6,Gligar,,,
,2,-,-,-,-,-,-,-,-,Gligar (T),,,
,-,-,4,-,-,-,-,-,-,Gligar (Z),,,
,-,8,10,5,-,7,-,8,9,Steelix,,,
,-,-,-,-,-,-,-,-,-,Steelix (T),,,
,-,-,10,-,-,-,-,-,-,Steelix (Z),,,
,-,-,3,3,-,7,-,6,7,Mega Steelix,,,
,1,-,1,1,1,1,9,1,1,Snubbull,,,
,1,-,-,-,-,-,-,-,-,Snubbull (T),,,
,-,-,1,-,-,-,-,-,-,Snubbull (Z),,,
,4,-,6,7,4,4,-,5,5,Granbull,,,
,4,-,-,-,-,-,-,-,-,Granbull (T),,,
,-,-,6,-,-,-,-,-,-,Granbull (Z),,,
,7,7,8,7,5,6,-,7,7,Qwilfish,,,
,7,-,-,-,-,-,-,-,-,Qwilfish (T),,,
,-,-,8,-,-,-,-,-,-,Qwilfish (Z),,,
,6,-,-,-,4,6,99,7,,Hisuian Qwilfish,,,
,6,-,-,-,-,-,-,-,-,Hisuian Qwilfish (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Qwilfish (Z),,,
,12,15,13,13,7,14,-,15,15,Scizor,,,
,13,-,-,-,-,-,-,-,-,Scizor (T),,,
,-,-,13,-,-,-,-,-,-,Scizor (Z),,,
,-,-,15,16,-,18,-,19,18,Mega Scizor,,,
,-,2,2,2,-,2,-,5,2,Shuckle,,,
,-,-,-,-,-,-,-,-,-,Shuckle (T),,,
,-,-,2,-,-,-,-,-,-,Shuckle (Z),,,
,6,6,6,8,5,7,-,10,10,Heracross,,,
,6,-,-,-,-,-,-,-,-,Heracross (T),,,
,-,-,6,-,-,-,-,-,-,Heracross (Z),,,
,-,-,7,7,-,12,-,8,11,Mega Heracross,,,
,2,3,3,4,4,2,99,6,6,Sneasel,,,
,2,-,-,-,-,-,-,-,-,Sneasel (T),,,
,-,-,3,-,-,-,-,-,-,Sneasel (Z),,,
,2,-,-,-,6,2,99,3,,Hisuian Sneasel,,,
,2,-,-,-,-,-,-,-,-,Hisuian Sneasel (T),,,
,-,-,-,-,-,-,-,-,-,Hisuian Sneasel (Z),,,
,1,-,1,1,1,1,7,1,1,Teddiursa,,,
,1,-,-,-,-,-,-,-,-,Teddiursa (T),,,
,-,-,1,-,-,-,-,-,-,Teddiursa (Z),,,
,5,-,2,4,4,5,-,5,4,Ursaring,,,
,5,-,-,-,-,-,-,-,-,Ursaring (T),,,
,-,-,2,-,-,-,-,-,-,Ursaring (Z),,,
,1,-,1,1,1,1,4,1,1,Slugma,,,
,1,-,-,-,-,-,-,-,-,Slugma (T),,,
,-,-,1,-,-,-,-,-,-,Slugma (Z),,,
,1,-,1,1,1,1,-,1,1,Magcargo,,,
,1,-,-,-,-,-,-,-,-,Magcargo (T),,,
,-,-,1,-,-,-,-,-,-,Magcargo (Z),,,
,1,1,1,1,1,1,7,1,1,Swinub,,,
,1,-,-,-,-,-,-,-,-,Swinub (T),,,
,-,-,1,-,-,-,-,-,-,Swinub (Z),,,
,4,6,8,7,4,5,-,6,7,Piloswine,,,
,4,-,-,-,-,-,-,-,-,Piloswine (T),,,
,-,-,8,-,-,-,-,-,-,Piloswine (Z),,,
,-,1,1,1,-,1,-,1,1,Corsola,,,
,-,-,-,-,-,-,-,-,-,Corsola (T),,,
,-,-,1,-,-,-,-,-,-,Corsola (Z),,,
,-,2,-,-,-,2,99,4,3,Galarian Corsola,,,
,-,-,-,-,-,-,-,-,-,Galarian Corsola (T),,,
,-,-,-,-,-,-,-,-,-,Galarian Corsola (Z),,,
,-,1,1,1,-,1,5,1,1,Remoraid,,,
,-,-,-,-,-,-,-,-,-,Remoraid (T),,,
,-,-,1,-,-,-,-,-,-,Remoraid (Z),,,
,-,1,1,1,-,1,-,1,1,Octillery,,,
,-,-,-,-,-,-,-,-,-,Octillery (T),,,
,-,-,1,-,-,-,-,-,-,Octillery (Z),,,
,1,1,1,1,1,1,-,1,1,Delibird,,,
,1,-,-,-,-,-,-,-,-,Delibird (T),,,
,-,-,1,-,-,-,-,-,-,Delibird (Z),,,
,-,2,2,3,-,2,-,5,3,Mantine,,,
,-,-,-,-,-,-,-,-,-,Mantine (T),,,
,-,-,2,-,-,-,-,-,-,Mantine (Z),,,
,9,9,12,15,3,10,-,14,12,Skarmory,,,
,9,-,-,-,-,-,-,-,-,Skarmory (T),,,
,-,-,12,-,-,-,-,-,-,Skarmory (Z),,,
,1,-,1,1,1,1,9,1,1,Houndour,,,
,1,-,-,-,-,-,-,-,-,Houndour (T),,,
,-,-,1,-,-,-,-,-,-,Houndour (Z),,,
,1,-,2,1,2,2,-,1,2,Houndoom,,,
,1,-,-,-,-,-,-,-,-,Houndoom (T),,,
,-,-,2,-,-,-,-,-,-,Houndoom (Z),,,
,-,-,4,3,-,4,-,3,4,Mega Houndoom,,,
,7,5,6,7,7,6,-,5,9,Kingdra,,,
,7,-,-,-,-,-,-,-,-,Kingdra (T),,,
,-,-,6,-,-,-,-,-,-,Kingdra (Z),,,
,1,-,1,1,1,1,10,1,1,Phanpy,,,
,1,-,-,-,-,-,-,-,-,Phanpy (T),,,
,-,-,1,-,-,-,-,-,-,Phanpy (Z),,,
,10,-,9,10,3,10,-,10,9,Donphan,,,
,10,-,-,-,-,-,-,-,-,Donphan (T),,,
,-,-,9,-,-,-,-,-,-,Donphan (Z),,,
,5,6,6,7,15,9,-,14,8,Porygon2,,,
,5,-,-,-,-,-,-,-,-,Porygon2 (T),,,
,-,-,6,-,-,-,-,-,-,Porygon2 (Z),,,
,1,-,1,1,3,1,99,1,1,Stantler,,,
,1,-,-,-,-,-,-,-,-,Stantler (T),,,
,-,-,1,-,-,-,-,-,-,Stantler (Z),,,
,3,-,2,2,13,3,-,6,2,Smeargle,,,
,3,-,-,-,-,-,-,-,-,Smeargle (T),,,
,-,-,2,-,-,-,-,-,-,Smeargle (Z),,,
,1,1,1,1,1,1,4,1,1,Tyrogue,,,
,1,-,-,-,-,-,-,-,-,Tyrogue (T),,,
,-,-,1,-,-,-,-,-,-,Tyrogue (Z),,,
,3,3,3,4,7,4,-,5,4,Hitmontop,,,
,3,-,-,-,-,-,-,-,-,Hitmontop (T),,,
,-,-,3,-,-,-,-,-,-,Hitmontop (Z),,,
,-,1,1,1,-,1,8,1,1,Smoochum,,,
,-,-,-,-,-,-,-,-,-,Smoochum (T),,,
,-,-,1,-,-,-,-,-,-,Smoochum (Z),,,
,-,1,1,1,1,1,10,1,1,Elekid,,,
,-,-,-,-,-,-,-,-,-,Elekid (T),,,
,-,-,1,-,-,-,-,-,-,Elekid (Z),,,
,-,1,1,1,1,1,11,1,1,Magby,,,
,-,-,-,-,-,-,-,-,-,Magby (T),,,
,-,-,1,-,-,-,-,-,-,Magby (Z),,,
,-,7,5,6,-,6,-,9,8,Miltank,,,
,-,-,-,-,-,-,-,-,-,Miltank (T),,,
,-,-,5,-,-,-,-,-,-,Miltank (Z),,,
,4,6,5,6,3,6,-,13,10,Blissey,,,
,4,-,-,-,-,-,-,-,-,Blissey (T),,,
,-,-,5,-,-,-,-,-,-,Blissey (Z),,,
,9,11,10,10,10,10,-,10,12,Raikou,,,
,9,-,-,-,-,-,-,-,-,Raikou (T),,,
,-,-,10,-,-,-,-,-,-,Raikou (Z),,,
,6,6,7,7,15,9,-,9,9,Entei,,,
,7,-,-,-,-,-,-,-,-,Entei (T),,,
,-,-,7,-,-,-,-,-,-,Entei (Z),,,
,6,9,9,11,11,8,-,10,9,Suicune,,,
,6,-,-,-,-,-,-,-,-,Suicune (T),,,
,-,-,9,-,-,-,-,-,-,Suicune (Z),,,
,1,1,1,1,1,1,6,1,1,Larvitar,,,
,1,-,-,-,-,-,-,-,-,Larvitar (T),,,
,-,-,1,-,-,-,-,-,-,Larvitar (Z),,,
,1,1,1,1,1,1,-,1,1,Pupitar,,,
,1,-,-,-,-,-,-,-,-,Pupitar (T),,,
,-,-,1,-,-,-,-,-,-,Pupitar (Z),,,
,10,10,13,14,12,12,-,14,12,Tyranitar,,,
,10,-,-,-,-,-,-,-,-,Tyranitar (T),,,
,-,-,13,-,-,-,-,-,-,Tyranitar (Z),,,
,-,-,8,10,-,12,-,9,11,Mega Tyranitar,,,
,99,99,99,99,99,99,-,23,99,Lugia,,,
,99,-,-,-,-,-,-,-,-,Lugia (T),,,
,-,-,99,-,-,-,-,-,-,Lugia (Z),,,
,99,99,99,99,99,99,-,29,99,Ho-Oh,,,
,99,-,-,-,-,-,-,-,-,Ho-Oh (T),,,
,-,-,99,-,-,-,-,-,-,Ho-Oh (Z),,,
,-,6,7,8,-,6,-,9,9,Celebi,,,
,-,-,-,-,-,-,-,-,-,Celebi (T),,,
,-,-,7,-,-,-,-,-,-,Celebi (Z),,,
,1,1,1,1,1,1,8,1,1,Treecko,,,
,1,-,-,-,-,-,-,-,-,Treecko (T),,,
,-,-,1,-,-,-,-,-,-,Treecko (Z),,,
,1,1,1,1,1,1,-,1,1,Grovyle,,,
,1,-,-,-,-,-,-,-,-,Grovyle (T),,,
,-,-,1,-,-,-,-,-,-,Grovyle (Z),,,
,3,3,4,3,4,3,-,3,3,Sceptile,,,
,3,-,-,-,-,-,-,-,-,Sceptile (T),,,
,-,-,4,-,-,-,-,-,-,Sceptile (Z),,,
,-,-,6,5,-,6,-,4,5,Mega Sceptile,,,
,1,1,1,1,1,1,7,1,1,Torchic,,,
